name_english,capacity_mw,latitude,longitude,state,city,year_operation
Setouchi Kirei,235,34.634047,134.150949,Okayama,Setouchi,2018
Eurus Rokkasho,148,40.924109,141.355335,Aomori,Rokkasho,2015
